Sample,Request,Response,ElapsedTimeNs
0,89,6912,1003301375
0,20,6912,1003209167
0,22,6912,1003269333
0,40,6912,1003339667
0,17,6912,1003333375
0,38,6912,1004347708
0,45,6912,1004372750
0,15,6912,1004432500
0,46,6912,1004407083
0,49,6912,1004472083
0,33,6912,1004884083
0,72,6912,1004679292
0,14,6912,1005074375
0,71,6912,1005085958
0,19,6912,1005175375
0,39,6912,1005403917
0,0,6912,1005781583
0,21,6912,1006548709
0,25,6912,1006886125
0,1,6912,1007166708
0,5,6912,1007163875
0,66,6912,1006444375
0,9,6912,1007164959
0,95,6912,1007132541
0,16,6912,1007267959
0,47,6912,1007350667
0,65,6912,1006852542
0,12,6912,1007659791
0,13,6912,1007673375
0,8,6912,1007750958
0,10,6912,1007837750
0,4,6912,1008022333
0,2,6912,1008214125
0,7,6912,1008439791
0,6,6912,1008452666
0,18,6912,1008707875
0,32,6912,1008137458
0,36,6912,1008095416
0,24,6912,1008583208
0,23,6912,1008741958
0,35,6912,1008331500
0,27,6912,1008717708
0,50,6912,1007211291
0,61,6912,1008929291
0,62,6912,1008971208
0,96,6912,1008427750
0,63,6912,1009187250
0,74,6912,1009253333
0,64,6912,1009248958
0,11,6912,1009923167
0,51,6912,1008116166
0,29,6912,1009919500
0,88,6912,1008887334
0,75,6912,1009419417
0,26,6912,1010624542
0,77,6912,1009475000
0,85,6912,1009215792
0,41,6912,1009198417
0,28,6912,1010706750
0,76,6912,1009546334
0,44,6912,1009231500
0,52,6912,1008674708
0,84,6912,1009554000
0,91,6912,1009981834
0,30,6912,1011157834
0,67,6912,1010115375
0,48,6912,1009840709
0,55,6912,1009867666
0,87,6912,1010032292
0,80,6912,1010304000
0,73,6912,1009990917
0,86,6912,1010163250
0,90,6912,1010352875
0,42,6912,1010151958
0,92,6912,1010279208
0,54,6912,1008495250
0,56,6912,1008295875
0,34,6912,1008226709
0,43,6912,1010333291
0,69,6912,1010621459
0,31,6912,1011912458
0,82,6912,1010759792
0,99,6912,1008361917
0,78,6912,1010816666
0,57,6912,1008463541
0,93,6912,1010621125
0,98,6912,1008434334
0,68,6912,1010826917
0,97,6912,1008501042
0,53,6912,1009250667
0,94,6912,1010711375
0,79,6912,1010965125
0,58,6912,1009114042
0,83,6912,1011264709
0,59,6912,1008902042
0,81,6912,1011278333
0,60,6912,1008936292
0,37,6912,1008919250
0,70,6912,1008911333
0,3,6912,1008949750
