Sample,Request,Response,ElapsedTimeNs
0,9,6912,1005184834
0,1,6912,1006069875
0,73,6912,1006308959
0,23,6912,1006298208
0,81,6912,1006392209
0,15,6912,1006467042
0,10,6912,1006528459
0,46,6912,1006568334
0,14,6912,1006585000
0,65,6912,1006318292
0,11,6912,2006719250
0,76,6912,2006607208
0,95,6912,2006705750
0,64,6912,2006817625
0,78,6912,2006694875
0,66,6912,2006882834
0,94,6912,2006809875
0,63,6912,2007074792
0,13,6912,2007218625
0,77,6912,2006998708
0,22,6912,3009360125
0,42,6912,3009753750
0,96,6912,3009517042
0,38,6912,3009973208
0,2,6912,3010038625
0,69,6912,3009850792
0,8,6912,3009791125
0,55,6912,3009196125
0,45,6912,3010430667
0,59,6912,3009889625
0,84,6912,4008703625
0,60,6912,4008944166
0,19,6912,4008934542
0,16,6912,4009862500
0,49,6912,4009914167
0,21,6912,4009139459
0,72,6912,4009785209
0,20,6912,4009728084
0,57,6912,4010758417
0,0,6912,4010490542
0,48,6912,5010437792
0,97,6912,5010722458
0,85,6912,5011470708
0,82,6912,5011563625
0,56,6912,5011693542
0,79,6912,5010933375
0,67,6912,5010938667
0,88,6912,5011262958
0,47,6912,5011431458
0,26,6912,5011092541
0,54,6912,6010330167
0,87,6912,6010438084
0,58,6912,6010255333
0,89,6912,6010535459
0,3,6912,6011050833
0,6,6912,6011133917
0,86,6912,6010600333
0,62,6912,6010964000
0,43,6912,6010629958
0,74,6912,6011519750
0,12,6912,7011713666
0,70,6912,7011833708
0,24,6912,7011658167
0,40,6912,7012313917
0,7,6912,7012445333
0,17,6912,7012634542
0,98,6912,7012659834
0,41,6912,7012403750
0,36,6912,7012485458
0,29,6912,7012084416
0,37,6912,8013909709
0,18,6912,8013672667
0,30,6912,8014251917
0,32,6912,8014327958
0,31,6912,8014404167
0,71,6912,8013980708
0,39,6912,8014533791
0,5,6912,8014627291
0,80,6912,8013862458
0,35,6912,8014723583
0,25,6912,9013012333
0,33,6912,9015149792
0,92,6912,9015378458
0,52,6912,9015438459
0,61,6912,9015315250
0,75,6912,9015500125
0,68,6912,9015268750
0,44,6912,9015483209
0,83,6912,9015655708
0,27,6912,9015743708
0,99,6912,10015889167
0,93,6912,10016012750
0,91,6912,10015956250
0,53,6912,10016095583
0,50,6912,10016117958
0,28,6912,10016077250
0,34,6912,10015953041
0,90,6912,10016137666
0,4,6912,10016033000
0,51,6912,10016170500
