Sample,Request,Response,ElapsedTimeNs
0,55,6912,1005285750
0,64,6912,1005308250
0,26,6912,1005467375
0,99,6912,1005466833
0,1,6912,1005812458
0,66,6912,1005512417
0,32,6912,1005383209
0,27,6912,1005372916
0,73,6912,1005505750
0,18,6912,1006343209
0,19,6912,1006502750
0,3,6912,1006674375
0,0,6912,1006752083
0,2,6912,1007623541
0,57,6912,1007159792
0,45,6912,1007283542
0,28,6912,1007457833
0,86,6912,1007210916
0,5,6912,1007922917
0,47,6912,1007802750
0,79,6912,1007385375
0,4,6912,1008216000
0,30,6912,1008036292
0,46,6912,1007940208
0,78,6912,1007828541
0,33,6912,1009172708
0,74,6912,1009387334
0,20,6912,1009879334
0,6,6912,1010001292
0,8,6912,1010033542
0,25,6912,1009814583
0,60,6912,1009707250
0,75,6912,1009529208
0,24,6912,1009924542
0,22,6912,1012313250
0,34,6912,1012139500
0,36,6912,1012160916
0,59,6912,1011960417
0,58,6912,1012029625
0,84,6912,1012024416
0,87,6912,1011777584
0,23,6912,1012729125
0,67,6912,1012539416
0,54,6912,1011807542
0,40,6912,1012777000
0,7,6912,1012949875
0,65,6912,1012755208
0,68,6912,1012740916
0,29,6912,1012814291
0,85,6912,1012581000
0,39,6912,2007097666
0,35,6912,2007281334
0,15,6912,2007486541
0,37,6912,2007450208
0,11,6912,2007746541
0,76,6912,2007404875
0,9,6912,2008050542
0,16,6912,2008021958
0,17,6912,2008095792
0,31,6912,2008100875
0,51,6912,2006900250
0,10,6912,2008437667
0,43,6912,2008331583
0,14,6912,2008572125
0,12,6912,2008644666
0,38,6912,2008489166
0,21,6912,2009196000
0,80,6912,2006694333
0,53,6912,2006775375
0,89,6912,2008827208
0,13,6912,2009438541
0,42,6912,2009197875
0,44,6912,2009241458
0,69,6912,2009331583
0,77,6912,2009037750
0,83,6912,2009466167
0,97,6912,2007400333
0,70,6912,2010085375
0,48,6912,2007540084
0,95,6912,2007618084
0,56,6912,2007416125
0,88,6912,2009934458
0,52,6912,2007952791
0,82,6912,2008101166
0,62,6912,2008090750
0,81,6912,2008462541
0,50,6912,2009245209
0,63,6912,2009326708
0,90,6912,2009330083
0,93,6912,2009621542
0,49,6912,2009524041
0,92,6912,2009711834
0,41,6912,2012153417
0,71,6912,2012220000
0,94,6912,2008561667
0,96,6912,2008553417
0,61,6912,2008389250
0,98,6912,2008382291
0,72,6912,2011072750
0,91,6912,2009957083
